dataSet,num_nodes,num_edges,16_1,8_1,8_1_balance,8_1_map
amazon0505,410236,410236,0.67,"(tensor([[-3.3354,  0.2976, -3.0497,  ...,  0.9769,  2.9866, -0.0562],
        [-1.0647, -2.2440,  4.1541,  ...,  1.4944,  5.1729, -0.7903],
        [ 3.0183,  0.9969,  3.1863,  ..., -2.5997,  2.3120,  2.5214],
        ...,
        [ 0.0428,  1.6155, -6.1795,  ..., -0.1737, -2.4532, -5.1143],
        [-1.0929,  0.5950, -4.8216,  ..., -3.4203, -2.5713, -4.7275],
        [-1.6085, -1.0862, -4.5662,  ...,  0.5146, -1.4368, -3.6922]]), 0.5)",0.48,0.55
packing-500x100x100-b050,2145852,2145852,3.31,"(tensor([[-1.1764, -0.1096,  1.9904,  ..., -0.6422,  1.8289,  2.0236],
        [-2.9849,  0.3956,  1.3215,  ...,  1.0796, -6.0558,  1.1027],
        [-4.0497, -2.2767,  2.4263,  ...,  8.2847, -1.5429, -0.2068],
        ...,
        [-2.1735, -1.0446, -3.3582,  ...,  1.8926,  4.2433,  2.4375],
        [-3.4164, -1.5454, -0.6041,  ...,  2.0142,  5.3295,  0.3004],
        [ 1.7783, -0.6556, -2.7615,  ...,  4.6035,  1.6890,  4.1249]]), 2.76)",2.59,3.16
